0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,Label
0,0,0,0,0,0,0,0,0,5,12,26,24,14,8,11,55,24,7,2,4,3,3,0,0,1,0,1,0,0,0,0,60,23,4,2,5,3,1,0,1,0,1,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,2,3,5,9,29,23,16,5,8,57,20,14,1,0,0,1,3,1,2,0,1,0,0,0,0,54,27,10,1,0,0,1,4,0,2,0,1,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,1,4,18,28,27,12,8,2,53,30,8,4,3,2,0,0,0,0,0,0,0,0,0,0,39,31,15,8,3,3,1,0,0,0,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,2,4,10,27,30,16,7,4,57,26,6,3,4,0,0,1,0,3,0,0,0,0,0,0,72,16,4,4,0,0,3,1,0,0,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,3,9,20,18,22,17,6,5,49,31,9,4,1,1,2,1,2,0,0,0,0,0,0,0,49,31,9,5,0,1,2,2,1,0,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,0,0,19,23,21,18,10,9,66,21,5,1,2,1,1,1,0,1,1,0,0,0,0,0,49,24,14,6,1,2,2,0,1,0,0,1,0,0,0,0,Class_1
0,0,0,0,0,0,1,0,2,4,13,19,27,20,4,10,45,28,13,4,0,1,1,2,5,0,1,0,0,0,0,0,56,21,12,1,0,1,5,2,2,0,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,0,4,15,26,26,18,8,3,67,24,2,3,1,0,0,0,1,1,1,0,0,0,0,0,63,26,4,3,1,0,0,0,2,0,1,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,0,0,6,30,35,20,4,5,63,26,6,1,0,1,1,2,0,0,0,0,0,0,0,0,60,25,8,3,0,2,0,1,1,0,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,1,1,9,15,30,22,10,2,10,59,22,7,1,1,2,2,1,1,1,1,1,1,0,0,0,60,19,10,1,0,1,3,0,2,1,2,1,0,0,0,0,Class_1
0,0,0,0,0,0,0,1,1,6,10,19,22,25,7,9,54,25,10,1,2,0,4,0,2,0,0,1,1,0,0,0,61,23,4,3,2,2,1,2,1,0,1,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,2,5,14,22,28,20,5,4,60,29,5,4,0,1,0,0,1,0,0,0,0,0,0,0,57,35,5,0,1,0,1,1,0,0,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,0,5,20,30,23,12,5,5,58,25,10,1,1,2,1,1,1,0,0,0,0,0,0,0,43,30,12,5,4,1,3,0,1,1,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,0,2,10,28,27,20,9,4,58,32,6,2,0,0,0,1,1,0,0,0,0,0,0,0,65,22,6,3,0,2,1,1,0,0,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,3,7,19,12,23,24,10,2,51,32,6,5,5,0,0,0,1,0,0,0,0,0,0,0,53,29,12,4,0,1,1,0,0,0,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,1,8,14,27,24,14,4,8,53,31,6,2,0,0,5,2,0,1,0,0,0,0,0,0,41,38,8,3,2,3,0,4,1,0,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,0,3,12,28,21,21,13,2,59,30,7,1,0,1,0,0,2,0,0,0,0,0,0,0,65,25,4,3,1,0,0,2,0,0,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,1,5,11,29,30,12,2,10,53,27,9,4,0,2,1,1,1,2,0,0,0,0,0,0,55,26,8,4,0,3,1,1,1,1,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,0,1,11,29,27,23,5,4,61,27,3,4,1,2,0,1,1,0,0,0,0,0,0,0,50,27,14,3,2,2,0,1,0,1,0,0,0,0,0,0,Class_1
0,0,0,1,0,0,2,4,5,13,10,27,18,10,5,5,45,26,11,5,1,0,4,2,3,3,0,0,0,0,0,0,54,23,11,1,2,2,3,3,1,0,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,0,6,17,33,20,12,6,6,55,24,10,3,1,1,2,1,2,0,1,0,0,0,0,0,70,18,3,1,2,2,1,1,1,1,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,0,8,15,28,15,17,6,11,49,31,8,2,2,1,4,0,2,1,0,0,0,0,0,0,44,29,12,4,3,2,2,2,1,1,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,1,2,6,21,16,30,11,7,6,57,29,8,0,0,3,0,1,0,0,2,0,0,0,0,0,60,24,10,0,2,1,0,1,0,0,2,0,0,0,0,0,Class_1
0,0,0,0,0,0,1,2,2,4,18,24,25,9,10,5,55,23,11,1,3,1,2,2,1,1,0,0,0,0,0,0,37,27,17,7,4,3,1,1,2,1,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,0,0,9,30,33,15,6,7,63,26,7,1,1,1,1,0,0,0,0,0,0,0,0,0,59,29,7,1,3,1,0,0,0,0,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,4,2,5,10,15,16,22,17,4,5,40,37,8,3,1,3,3,2,2,1,0,0,0,0,0,0,45,24,16,5,3,1,3,1,0,2,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,2,7,16,27,21,14,8,5,58,26,7,1,3,1,1,1,1,0,1,0,0,0,0,0,58,29,5,2,2,0,2,1,0,1,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,1,2,9,22,23,21,16,3,3,61,27,7,1,1,0,1,1,1,0,0,0,0,0,0,0,50,32,12,2,0,1,2,1,0,0,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,0,10,22,28,23,7,5,5,50,31,9,2,0,3,3,1,0,0,1,0,0,0,0,0,48,33,7,4,1,2,4,0,1,0,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,1,5,10,35,34,11,1,3,60,27,8,1,2,2,0,0,0,0,0,0,0,0,0,0,44,28,14,9,3,1,0,0,1,0,0,0,0,0,0,0,Class_1
40,26,19,8,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,17,21,29,15,6,4,46,26,17,6,1,2,1,0,0,1,0,0,0,0,0,0,Class_2
48,21,19,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,17,25,23,14,3,50,29,11,6,3,1,0,0,0,0,0,0,0,0,0,0,Class_2
47,27,14,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,19,21,18,18,5,2,41,22,18,11,6,1,0,0,1,0,0,0,0,0,0,0,Class_2
50,27,15,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,7,18,29,19,17,5,64,22,10,3,0,1,0,0,0,0,0,0,0,0,0,0,Class_2
43,27,16,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,4,9,24,27,18,8,3,42,24,18,10,4,2,0,0,0,0,0,0,0,0,0,0,Class_2
34,20,23,14,4,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,9,11,26,22,14,7,7,46,21,17,8,5,1,1,1,0,0,0,0,0,0,0,0,Class_2
58,27,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,13,18,29,20,11,4,59,22,11,8,0,0,0,0,0,0,0,0,0,0,0,0,Class_2
55,20,19,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,10,20,32,24,8,2,49,24,17,8,1,1,0,0,0,0,0,0,0,0,0,0,Class_2
