Label,ID,PIXEL_NUMBER,RED,GREEN,BLUE
Class_1,Class_1_01.csv,0,15,5,4
Class_1,Class_1_01.csv,1,15,6,5
Class_1,Class_1_01.csv,2,10,2,1
Class_1,Class_1_01.csv,3,9,2,0
Class_1,Class_1_01.csv,4,9,1,0
Class_1,Class_1_01.csv,5,9,1,0
Class_1,Class_1_01.csv,6,11,2,1
Class_1,Class_1_01.csv,7,11,0,0
Class_1,Class_1_01.csv,8,11,0,0
Class_1,Class_1_01.csv,9,11,0,0
Class_1,Class_1_01.csv,10,11,1,0
Class_1,Class_1_01.csv,11,12,3,2
Class_1,Class_1_01.csv,12,14,5,4
Class_1,Class_1_01.csv,13,15,11,10
Class_1,Class_1_01.csv,14,11,2,1
Class_1,Class_1_01.csv,15,15,6,5
Class_1,Class_1_01.csv,16,10,0,0
Class_1,Class_1_01.csv,17,11,1,0
Class_1,Class_1_01.csv,18,12,1,0
Class_1,Class_1_01.csv,19,12,0,0
Class_1,Class_1_01.csv,20,11,0,0
Class_1,Class_1_01.csv,21,12,1,0
Class_1,Class_1_01.csv,22,12,1,1
Class_1,Class_1_01.csv,23,9,0,0
Class_1,Class_1_01.csv,24,11,1,0
Class_1,Class_1_01.csv,25,13,3,2
Class_1,Class_1_01.csv,26,11,0,0
Class_1,Class_1_01.csv,27,15,4,4
Class_1,Class_1_01.csv,28,13,0,1
Class_1,Class_1_01.csv,29,13,0,0
Class_1,Class_1_01.csv,30,13,0,0
Class_1,Class_1_01.csv,31,14,1,1
Class_1,Class_1_01.csv,32,12,0,0
Class_1,Class_1_01.csv,33,11,0,0
Class_1,Class_1_01.csv,34,11,0,0
Class_1,Class_1_01.csv,35,12,1,0
Class_1,Class_1_01.csv,36,13,1,1
Class_1,Class_1_01.csv,37,11,0,0
Class_1,Class_1_01.csv,38,13,0,0
Class_1,Class_1_01.csv,39,13,0,1
Class_1,Class_1_01.csv,40,13,0,0
Class_1,Class_1_01.csv,41,14,0,1
Class_1,Class_1_01.csv,42,12,0,0
Class_1,Class_1_01.csv,43,11,0,0
Class_1,Class_1_01.csv,44,11,0,0
Class_1,Class_1_01.csv,45,10,0,0
Class_1,Class_1_01.csv,46,15,4,4
Class_1,Class_1_01.csv,47,14,1,1
Class_1,Class_1_01.csv,48,13,0,1
Class_1,Class_1_01.csv,49,13,0,1
Class_1,Class_1_01.csv,50,13,0,0
Class_1,Class_1_01.csv,51,12,0,0
Class_1,Class_1_01.csv,52,11,0,0
Class_1,Class_1_01.csv,53,14,4,3
Class_1,Class_1_01.csv,54,11,0,0
Class_1,Class_1_01.csv,55,10,0,0
Class_1,Class_1_01.csv,56,12,1,1
Class_1,Class_1_01.csv,57,11,0,0
Class_1,Class_1_01.csv,58,12,0,1
Class_1,Class_1_01.csv,59,12,0,0
Class_1,Class_1_01.csv,60,10,0,0
Class_1,Class_1_01.csv,61,11,0,0
Class_1,Class_1_01.csv,62,12,2,1
Class_1,Class_1_01.csv,63,10,1,0
Class_1,Class_1_01.csv,64,15,9,8
Class_1,Class_1_01.csv,65,11,2,1
Class_1,Class_1_01.csv,66,10,1,0
Class_1,Class_1_01.csv,67,11,1,1
Class_1,Class_1_01.csv,68,10,0,0
Class_1,Class_1_01.csv,69,10,1,1
Class_1,Class_1_01.csv,70,12,0,0
Class_1,Class_1_01.csv,71,13,1,1
Class_1,Class_1_01.csv,72,11,1,0
Class_1,Class_1_01.csv,73,10,1,0
Class_1,Class_1_01.csv,74,14,6,4
Class_1,Class_1_01.csv,75,10,1,0
Class_1,Class_1_01.csv,76,10,1,1
Class_1,Class_1_01.csv,77,9,0,0
Class_1,Class_1_01.csv,78,12,2,3
Class_1,Class_1_01.csv,79,14,4,5
Class_1,Class_1_01.csv,80,15,0,0
Class_1,Class_1_01.csv,81,14,0,0
Class_1,Class_1_01.csv,82,12,0,0
Class_1,Class_1_01.csv,83,12,0,0
Class_1,Class_1_01.csv,84,12,1,1
Class_1,Class_1_01.csv,85,11,0,0
Class_1,Class_1_01.csv,86,11,0,0
Class_1,Class_1_01.csv,87,12,0,1
Class_1,Class_1_01.csv,88,12,1,2
Class_1,Class_1_01.csv,89,15,5,6
Class_1,Class_1_01.csv,90,15,0,0
Class_1,Class_1_01.csv,91,15,0,0
Class_1,Class_1_01.csv,92,13,0,0
Class_1,Class_1_01.csv,93,12,0,0
Class_1,Class_1_01.csv,94,12,0,0
Class_1,Class_1_01.csv,95,12,0,0
Class_1,Class_1_01.csv,96,11,0,0
Class_1,Class_1_01.csv,97,12,0,1
Class_1,Class_1_01.csv,98,11,0,0
Class_1,Class_1_01.csv,99,13,0,2
Class_1,Class_1_02.csv,0,12,0,1
Class_1,Class_1_02.csv,1,11,0,0
Class_1,Class_1_02.csv,2,13,0,1
Class_1,Class_1_02.csv,3,13,0,1
Class_1,Class_1_02.csv,4,13,0,0
Class_1,Class_1_02.csv,5,13,0,1
Class_1,Class_1_02.csv,6,10,0,0
Class_1,Class_1_02.csv,7,11,0,0
Class_1,Class_1_02.csv,8,8,0,0
Class_1,Class_1_02.csv,9,9,1,0
Class_1,Class_1_02.csv,10,12,1,1
Class_1,Class_1_02.csv,11,11,0,0
Class_1,Class_1_02.csv,12,13,1,2
Class_1,Class_1_02.csv,13,11,0,0
Class_1,Class_1_02.csv,14,12,0,0
Class_1,Class_1_02.csv,15,13,0,1
Class_1,Class_1_02.csv,16,14,2,2
Class_1,Class_1_02.csv,17,11,0,0
Class_1,Class_1_02.csv,18,12,2,1
Class_1,Class_1_02.csv,19,15,8,7
Class_1,Class_1_02.csv,20,10,2,2
Class_1,Class_1_02.csv,21,9,0,0
Class_1,Class_1_02.csv,22,15,9,9
Class_1,Class_1_02.csv,23,10,0,0
Class_1,Class_1_02.csv,24,13,1,1
Class_1,Class_1_02.csv,25,12,0,0
Class_1,Class_1_02.csv,26,12,0,0
Class_1,Class_1_02.csv,27,12,0,0
Class_1,Class_1_02.csv,28,11,0,0
Class_1,Class_1_02.csv,29,13,1,1
Class_1,Class_1_02.csv,30,8,2,1
Class_1,Class_1_02.csv,31,9,2,2
Class_1,Class_1_02.csv,32,7,0,0
Class_1,Class_1_02.csv,33,11,2,2
Class_1,Class_1_02.csv,34,10,0,0
Class_1,Class_1_02.csv,35,11,0,0
Class_1,Class_1_02.csv,36,13,2,2
Class_1,Class_1_02.csv,37,12,0,0
Class_1,Class_1_02.csv,38,12,0,0
Class_1,Class_1_02.csv,39,11,0,0
Class_1,Class_1_02.csv,40,8,1,1
Class_1,Class_1_02.csv,41,9,2,2
Class_1,Class_1_02.csv,42,10,2,2
Class_1,Class_1_02.csv,43,15,7,7
Class_1,Class_1_02.csv,44,12,2,2
Class_1,Class_1_02.csv,45,11,0,0
Class_1,Class_1_02.csv,46,10,0,0
Class_1,Class_1_02.csv,47,11,0,0
Class_1,Class_1_02.csv,48,12,2,1
Class_1,Class_1_02.csv,49,11,1,0
Class_1,Class_1_02.csv,50,15,11,11
Class_1,Class_1_02.csv,51,7,0,0
Class_1,Class_1_02.csv,52,11,2,2
Class_1,Class_1_02.csv,53,9,0,0
Class_1,Class_1_02.csv,54,12,1,1
Class_1,Class_1_02.csv,55,14,3,3
Class_1,Class_1_02.csv,56,15,7,7
Class_1,Class_1_02.csv,57,12,1,1
Class_1,Class_1_02.csv,58,12,1,1
Class_1,Class_1_02.csv,59,11,0,0
Class_1,Class_1_02.csv,60,11,1,1
Class_1,Class_1_02.csv,61,11,0,0
Class_1,Class_1_02.csv,62,15,7,7
Class_1,Class_1_02.csv,63,11,0,0
Class_1,Class_1_02.csv,64,13,0,0
Class_1,Class_1_02.csv,65,14,1,1
Class_1,Class_1_02.csv,66,11,0,0
Class_1,Class_1_02.csv,67,14,1,1
Class_1,Class_1_02.csv,68,12,0,0
Class_1,Class_1_02.csv,69,13,0,0
Class_1,Class_1_02.csv,70,12,1,1
Class_1,Class_1_02.csv,71,11,0,0
Class_1,Class_1_02.csv,72,11,0,0
Class_1,Class_1_02.csv,73,13,0,1
Class_1,Class_1_02.csv,74,13,0,0
Class_1,Class_1_02.csv,75,12,0,0
Class_1,Class_1_02.csv,76,15,9,9
Class_1,Class_1_02.csv,77,12,0,0
Class_1,Class_1_02.csv,78,14,1,1
Class_1,Class_1_02.csv,79,13,0,0
Class_1,Class_1_02.csv,80,10,1,0
Class_1,Class_1_02.csv,81,11,1,1
Class_1,Class_1_02.csv,82,10,0,0
Class_1,Class_1_02.csv,83,11,0,0
Class_1,Class_1_02.csv,84,11,0,0
Class_1,Class_1_02.csv,85,12,0,0
Class_1,Class_1_02.csv,86,12,0,0
Class_1,Class_1_02.csv,87,12,0,0
Class_1,Class_1_02.csv,88,13,1,1
Class_1,Class_1_02.csv,89,13,2,1
Class_1,Class_1_02.csv,90,10,1,1
Class_1,Class_1_02.csv,91,15,6,6
Class_1,Class_1_02.csv,92,11,2,1
Class_1,Class_1_02.csv,93,11,0,0
Class_1,Class_1_02.csv,94,11,0,0
Class_1,Class_1_02.csv,95,12,1,1
Class_1,Class_1_02.csv,96,12,0,0
Class_1,Class_1_02.csv,97,11,0,0
Class_1,Class_1_02.csv,98,11,0,0
Class_1,Class_1_02.csv,99,11,0,0
Class_1,Class_1_03.csv,0,12,0,2
Class_1,Class_1_03.csv,1,11,0,2
Class_1,Class_1_03.csv,2,12,3,4
Class_1,Class_1_03.csv,3,12,5,5
Class_1,Class_1_03.csv,4,9,1,1
Class_1,Class_1_03.csv,5,11,2,3
Class_1,Class_1_03.csv,6,11,0,1
Class_1,Class_1_03.csv,7,12,0,1
Class_1,Class_1_03.csv,8,13,0,1
Class_1,Class_1_03.csv,9,13,0,1
Class_1,Class_1_03.csv,10,13,0,1
Class_1,Class_1_03.csv,11,12,0,1
Class_1,Class_1_03.csv,12,10,1,2
